cmd,speed,acc
0.0,0.0,0.4546159
5.0,0.0,0.69090784
10.0,0.0,0.65992594
15.0,0.0,0.7011887
20.0,0.0,0.69616354
25.0,0.0,0.68589324
30.0,0.0,0.663918
35.0,0.0,0.6325723
40.0,0.0,0.6039359
45.0,0.0,0.5830928
50.0,0.0,0.5696578
55.0,0.0,0.5610308
60.0,0.0,0.5552595
65.0,0.0,0.5515556
70.0,0.0,0.54968244
75.0,0.0,0.5491097
80.0,0.0,0.5490978
0.0,0.2,0.5491893
5.0,0.2,0.549252
10.0,0.2,0.54928243
15.0,0.2,0.5492958
20.0,0.2,0.54930156
25.0,0.2,0.5493039
30.0,0.2,0.54930466
35.0,0.2,0.54930526
40.0,0.2,0.5493057
45.0,0.2,0.54586965
50.0,0.2,0.5547216
55.0,0.2,0.5531224
60.0,0.2,0.55437505
65.0,0.2,0.554251
70.0,0.2,0.55444664
75.0,0.2,0.5544776
80.0,0.2,0.5545256
0.0,0.4,0.55454713
5.0,0.4,0.5545634
10.0,0.4,0.55457294
15.0,0.4,0.5545794
20.0,0.4,0.5545837
25.0,0.4,0.5545871
30.0,0.4,0.55459017
35.0,0.4,0.55459344
40.0,0.4,0.5545976
45.0,0.4,0.55460334
50.0,0.4,0.5546118
55.0,0.4,0.5546242
60.0,0.4,0.55464256
65.0,0.4,0.5546682
70.0,0.4,0.5547008
75.0,0.4,0.55473256
80.0,0.4,0.55474764
0.0,0.6000000000000001,0.5485862
5.0,0.6000000000000001,0.5589862
10.0,0.6000000000000001,0.5577321
15.0,0.6000000000000001,0.55921155
20.0,0.6000000000000001,0.5592792
25.0,0.6000000000000001,0.55958784
30.0,0.6000000000000001,0.5597122
35.0,0.6000000000000001,0.5598371
40.0,0.6000000000000001,0.55992645
45.0,0.6000000000000001,0.5600049
50.0,0.6000000000000001,0.5600727
55.0,0.6000000000000001,0.56013525
60.0,0.6000000000000001,0.5601944
65.0,0.6000000000000001,0.5602521
70.0,0.6000000000000001,0.5603093
75.0,0.6000000000000001,0.560367
80.0,0.6000000000000001,0.5604256
0.0,0.8,0.5604855
5.0,0.8,0.56054676
10.0,0.8,0.56060934
15.0,0.8,0.5606727
20.0,0.8,0.5607345
25.0,0.8,0.5607886
30.0,0.8,0.5608293
35.0,0.8,0.56085086
40.0,0.8,0.55958474
45.0,0.8,0.562228
50.0,0.8,0.5620525
55.0,0.8,0.56243736
60.0,0.8,0.5624726
65.0,0.8,0.5625529
70.0,0.8,0.5625856
75.0,0.8,0.5626165
80.0,0.8,0.5626376
0.0,1.0,0.5626552
5.0,1.0,0.5626693
10.0,1.0,0.5626812
15.0,1.0,0.5626916
20.0,1.0,0.5627009
25.0,1.0,0.5627095
30.0,1.0,0.56271756
35.0,1.0,0.5627252
40.0,1.0,0.5627326
45.0,1.0,0.5627398
50.0,1.0,0.5627469
55.0,1.0,0.5627538
60.0,1.0,0.5627606
65.0,1.0,0.5627669
70.0,1.0,0.5627723
