cmd,speed,acc
0.0,0.0,2.4504242
5.0,0.0,3.1927605
10.0,0.0,2.730774
15.0,0.0,2.9491901
20.0,0.0,2.8915024
25.0,0.0,2.8626347
30.0,0.0,2.8746777
35.0,0.0,2.8528538
40.0,0.0,2.8468876
45.0,0.0,2.8391647
50.0,0.0,2.8301487
55.0,0.0,2.823637
60.0,0.0,2.8167477
65.0,0.0,2.810585
70.0,0.0,2.8049984
75.0,0.0,2.7997818
80.0,0.0,2.7950726
0.0,0.2,2.7907982
5.0,0.2,2.7869682
10.0,0.2,2.7836208
15.0,0.2,2.7807732
20.0,0.2,2.7782764
25.0,0.2,2.7760124
30.0,0.2,2.771986
35.0,0.2,2.764019
40.0,0.2,2.7445202
45.0,0.2,3.4477577
50.0,0.2,3.0351048
55.0,0.2,3.1939945
60.0,0.2,3.1737938
65.0,0.2,3.1362782
70.0,0.2,3.1501942
75.0,0.2,3.135374
80.0,0.2,3.1285648
0.0,0.4,3.1240883
5.0,0.4,3.1169777
10.0,0.4,3.1118622
15.0,0.4,3.1067753
20.0,0.4,3.1019135
25.0,0.4,3.0975685
30.0,0.4,3.0934677
35.0,0.4,3.089693
40.0,0.4,3.0862274
45.0,0.4,3.083044
50.0,0.4,3.0801907
55.0,0.4,3.0776863
60.0,0.4,3.075531
65.0,0.4,3.0736752
70.0,0.4,3.071043
75.0,0.4,3.0652122
80.0,0.4,3.0477428
0.0,0.6000000000000001,3.703619
5.0,0.6000000000000001,3.3470821
10.0,0.6000000000000001,3.452528
15.0,0.6000000000000001,3.459423
20.0,0.6000000000000001,3.421009
25.0,0.6000000000000001,3.4323063
30.0,0.6000000000000001,3.4240246
35.0,0.6000000000000001,3.417101
40.0,0.6000000000000001,3.4143753
45.0,0.6000000000000001,3.409254
50.0,0.6000000000000001,3.405182
55.0,0.6000000000000001,3.401493
60.0,0.6000000000000001,3.397791
65.0,0.6000000000000001,3.3944492
70.0,0.6000000000000001,3.3913078
75.0,0.6000000000000001,3.388359
80.0,0.6000000000000001,3.385622
0.0,0.8,3.3830738
5.0,0.8,3.380724
10.0,0.8,3.3786144
15.0,0.8,3.3767853
20.0,0.8,3.3752308
25.0,0.8,3.373581
30.0,0.8,3.3695564
35.0,0.8,3.3554115
40.0,0.8,3.958168
45.0,0.8,3.6596222
50.0,0.8,3.7205963
55.0,0.8,3.744011
60.0,0.8,3.7100277
65.0,0.8,3.7170086
70.0,0.8,3.713522
75.0,0.8,3.7074337
80.0,0.8,3.7054806
0.0,1.0,3.702053
5.0,1.0,3.698904
10.0,1.0,3.69623
15.0,1.0,3.6935196
20.0,1.0,3.6910095
25.0,1.0,3.6886635
30.0,1.0,3.686432
35.0,1.0,3.6843433
40.0,1.0,3.6823788
45.0,1.0,3.6805305
50.0,1.0,3.6788387
55.0,1.0,3.6773453
60.0,1.0,3.6760693
65.0,1.0,3.674984
70.0,1.0,3.6724377
75.0,1.0,3.662035
80.0,1.0,4.208191
0.0,1.2000000000000002,3.965458
5.0,1.2000000000000002,3.9926033
10.0,1.2000000000000002,4.0232735
15.0,1.2000000000000002,3.9964333
20.0,1.2000000000000002,3.9993992
25.0,1.2000000000000002,3.998682
30.0,1.2000000000000002,3.9939957
35.0,1.2000000000000002,3.992382
40.0,1.2000000000000002,3.9901733
45.0,1.2000000000000002,3.9878578
50.0,1.2000000000000002,3.985918
55.0,1.2000000000000002,3.9839897
60.0,1.2000000000000002,3.9821568
65.0,1.2000000000000002,3.9804459
70.0,1.2000000000000002,3.9788132
75.0,1.2000000000000002,3.9772663
80.0,1.2000000000000002,3.9758034
0.0,1.4000000000000001,3.974409
5.0,1.4000000000000001,3.973112
10.0,1.4000000000000001,3.971941
15.0,1.4000000000000001,3.9709282
20.0,1.4000000000000001,3.9701405
25.0,1.4000000000000001,3.968687
30.0,1.4000000000000001,3.9616737
35.0,1.4000000000000001,4.449835
40.0,1.4000000000000001,4.2579174
45.0,1.4000000000000001,4.2618484
50.0,1.4000000000000001,4.2929535
55.0,1.4000000000000001,4.2737064
60.0,1.4000000000000001,4.273926
65.0,1.4000000000000001,4.2743626
70.0,1.4000000000000001,4.271145
75.0,1.4000000000000001,4.269785
80.0,1.4000000000000001,4.2683563
0.0,1.6,4.266737
5.0,1.6,4.2653484
10.0,1.6,4.264002
15.0,1.6,4.262703
20.0,1.6,4.2614803
25.0,1.6,4.260313
30.0,1.6,4.259203
35.0,1.6,4.258148
40.0,1.6,4.2571373
45.0,1.6,4.256176
50.0,1.6,4.255295
55.0,1.6,4.254526
60.0,1.6,4.2539196
65.0,1.6,4.2531567
70.0,1.6,4.2487698
75.0,1.6,4.679428
80.0,1.6,4.531685
0.0,1.8,4.5216427
5.0,1.8,4.549082
10.0,1.8,4.5364113
15.0,1.8,4.5352707
20.0,1.8,4.5359173
25.0,1.8,4.5338917
30.0,1.8,4.5328217
35.0,1.8,4.531872
40.0,1.8,4.5307903
45.0,1.8,4.5298195
50.0,1.8,4.5288944
55.0,1.8,4.527998
60.0,1.8,4.527149
65.0,1.8,4.5263386
70.0,1.8,4.525564
75.0,1.8,4.524828
80.0,1.8,4.5241165
0.0,2.0,4.523432
5.0,2.0,4.5227947
10.0,2.0,4.522238
15.0,2.0,4.52178
20.0,2.0,4.5213985
25.0,2.0,4.5188427
30.0,2.0,4.8940697
35.0,2.0,4.783222
40.0,2.0,4.766342
45.0,2.0,4.7883606
50.0,2.0,4.780636
55.0,2.0,4.7791576
60.0,2.0,4.7796345
65.0,2.0,4.7784443
70.0,2.0,4.777672
75.0,2.0,4.7770386
80.0,2.0,4.7763367
0.0,2.2,4.7756844
5.0,2.2,4.7750683
10.0,2.2,4.7744713
15.0,2.2,4.773903
20.0,2.2,4.7733574
25.0,2.2,4.7728367
30.0,2.2,4.772339
35.0,2.2,4.77186
40.0,2.2,4.771391
45.0,2.2,4.770956
50.0,2.2,4.770569
55.0,2.2,4.7702446
60.0,2.2,4.770075
65.0,2.2,4.76869
70.0,2.2,5.0918045
75.0,2.2,5.010666
80.0,2.2,4.991865
0.0,2.4000000000000004,5.0083313
5.0,2.4000000000000004,5.0039387
10.0,2.4000000000000004,5.0026703
15.0,2.4000000000000004,5.0029335
20.0,2.4000000000000004,5.002262
25.0,2.4000000000000004,5.0017605
30.0,2.4000000000000004,5.0013523
35.0,2.4000000000000004,5.0009174
40.0,2.4000000000000004,5.0005035
45.0,2.4000000000000004,5.0001125
50.0,2.4000000000000004,4.999735
55.0,2.4000000000000004,4.9993744
60.0,2.4000000000000004,4.9990273
65.0,2.4000000000000004,4.9986935
70.0,2.4000000000000004,4.998377
75.0,2.4000000000000004,4.99807
80.0,2.4000000000000004,4.997774
0.0,2.6,4.997492
5.0,2.6,4.997238
10.0,2.6,4.997036
15.0,2.6,4.9969788
20.0,2.6,4.996294
25.0,2.6,5.2715263
30.0,2.6,5.213505
35.0,2.6,5.1957417
40.0,2.6,5.2074184
45.0,2.6,5.2050743
50.0,2.6,5.204199
55.0,2.6,5.204321
60.0,2.6,5.203968
65.0,2.6,5.2036743
70.0,2.6,5.203434
75.0,2.6,5.203188
80.0,2.6,5.2029476
0.0,2.8000000000000003,5.2027206
5.0,2.8000000000000003,5.2025013
10.0,2.8000000000000003,5.2022934
15.0,2.8000000000000003,5.202093
20.0,2.8000000000000003,5.2018986
25.0,2.8000000000000003,5.2017155
30.0,2.8000000000000003,5.201538
35.0,2.8000000000000003,5.2013664
40.0,2.8000000000000003,5.2012024
